entropy_1,entropy_2,mean_entropy_3,std_entropy_3,mean_entropy_3_scaled,std_entropy_3_scaled,n_bins,S,Age,Credit amount,Duration,Job_0,Job_1,Job_2,Job_3,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
0.9975720245861465,0.9980485963165613,4.194095972374553,0.030648419324114783,0.9147503325741214,0.006684551797161737,24.0,0,-1.017625218208695,-0.07937699269215527,-0.2722078165754,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.9993506898146103,0.9989581233509567,3.9989037832777106,0.031468982148760816,0.9252592119725973,0.007281236859536647,20.0,1,-0.03474817818273565,0.3140110885514943,-0.2722078165754,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0.9998153271549207,0.9997114417528099,3.700227924652937,0.0179379746280157,0.9250569811632342,0.004484493657003925,16.0,1,-0.30280555273527,-0.3653271525877493,0.22928708201164383,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0.9996508396313202,0.9988455359952018,3.66798899533701,0.024418020702708033,0.9169972488342525,0.006104505175677008,16.0,1,-1.106977676392873,-0.7051615622671373,-0.7737027151624438,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.9990649315776107,0.9995123141215677,3.14596212659063,0.03150926469343946,0.877543942498083,0.008789287108889154,12.0,1,-0.03474817818273565,1.2637623132683053,0.9815294298922096,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9986030202378096,0.9972253609153698,4.485664560610326,0.026411635751577407,0.9054272942728904,0.0053311645515950285,31.0,1,2.5564731091584294,-0.345823037635333,0.22928708201164383,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.9999884584088952,0.9998586112670831,3.138336324554004,0.020910464232481794,0.875416778815034,0.005832826487941072,12.0,1,0.5013665709223329,-0.4344180004700373,-1.2751976137494878,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.999953833266239,0.9998586112670831,3.846549980755662,0.013256922657592133,0.8900078613769509,0.003067363076510806,20.0,1,-1.3750350509454072,-0.9405332545742621,-0.7737027151624438,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9992612140227841,0.9990649315776107,3.6994468843423918,0.01841960335972861,0.9248617210855979,0.004604900839932153,16.0,1,-0.8389203018403386,0.04855677826691395,-1.0244501644559658,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9995844639313985,0.9992612140227841,2.802009999275825,0.02987301657114037,0.8839357391739281,0.009423887491832827,9.0,1,-0.7495678436561605,1.7133486918324763,0.48003453130516577,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
