entropy_1,entropy_2,mean_entropy_3,std_entropy_3,mean_entropy_3_scaled,std_entropy_3_scaled,n_bins,S,Age,Credit amount,Duration,Job_0,Job_1,Job_2,Job_3,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
0.0,0.8414646362081757,3.526949790169538,0.07283944122412993,0.4954318000584637,0.010231780328006508,139.0,1,-0.5714635006463117,1.4348991779120275,1.3465830153486362,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,0.9881489563064276,4.706365905074087,0.07314461532855675,0.6850241722479422,0.010646394815120076,117.0,1,-1.261415354587746,-0.8542998125746444,-0.7378429886541339,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,0.884927220099492,4.5071960722758,0.049800590741347586,0.6268854038599658,0.0069265376830147714,146.0,1,-0.5714635006463117,-0.3069574975560266,0.3043700133472512,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.584238811642856,4.293522107156558,0.09934812380825248,0.597166463798301,0.01381787872494739,146.0,0,-1.3476593363304252,-0.4194093777904596,-0.21673648765344133,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.0,0.8931734583778568,4.9040066937150835,0.0562267418370593,0.7535589189343803,0.008639907210615767,91.0,1,-0.05399961019023594,-0.15587418907779177,-0.4772897381537876,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0,0.6197604376555949,5.302183418373657,0.07462503962442094,0.744799453206485,0.010482603924107423,139.0,1,-1.0889273911023873,-0.6469905639791931,-0.4772897381537876,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0,0.7056366064601749,4.254269716091392,0.06392777279820548,0.6011559376881745,0.009033409436985525,135.0,1,-0.3989755371609531,0.5115697939463089,1.3465830153486362,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0,0.9998153271549207,5.372135368406468,0.04910806191699468,0.7431553616733402,0.006793373028093743,150.0,1,0.03224437155244334,-0.5410410033501525,-0.4772897381537876,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.0,0.2092204778691527,4.5412703420299145,0.03617741251812958,0.6379137424567207,0.005081853066145562,139.0,1,1.6708800246633497,1.4291618370837402,0.3043700133472512,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.0,0.5206755312572332,4.491651850590989,0.08235979067884501,0.6213535078001619,0.011393257211877198,150.0,1,0.7221962254938776,-0.6339859247684083,-0.4772897381537876,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.0,0.9885173903891564,4.693003423982424,0.06593907060649008,0.6492075157663824,0.009121693796689602,150.0,0,-0.14024359193291522,-0.625188668831701,-0.9983962391544802,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.9641511803032148,5.518085325683138,0.05699217188750423,0.7633453766018595,0.007884022871182951,150.0,0,-1.0889273911023873,-0.7403179747860014,-0.7378429886541339,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,0.9885173903891564,5.118255753484229,0.05525880476764283,0.7118749159411362,0.007685695849058448,146.0,1,1.6708800246633497,-0.6588477350243204,-0.7378429886541339,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
