entropy_nodtype,entropy_float16,entropy_float32,entropy_float64,entropy_longdouble,S,priors_count,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,c_charge_degree_F,c_charge_degree_M
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,0,0,1,1,0
0,0.0,0.0,0.0,0.0,1,-0.7338780825023853,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,1.2366358168139007,0,1,0,1,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,0,0,1,1,0
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.1427239127074995,0,1,0,0,1,1,0
0,0.0,0.0,0.0,0.0,1,0.05432747722412909,1,0,1,0,0,0,1
0,0.0,0.0,0.0,0.0,1,-0.1427239127074995,0,1,1,0,0,0,1
0,0.0,0.0,0.0,0.0,0,0.2513788671557577,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,1,-0.1427239127074995,0,1,0,1,0,1,0
0,0.0,0.0,0.0,0.0,0,1.039584426882272,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,0.4484302570873863,0,1,1,0,0,0,1
0,0.0,0.0,0.0,0.0,0,-0.1427239127074995,0,1,0,1,0,0,1
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,0,1,1,0,0,0,1
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,0,1,1,0,0,0,1
0,0.0,0.0,0.0,0.0,0,1.4336872067455293,0,1,0,1,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,1,0,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,1,0,0,0,1,0,1
0,0.0,0.0,0.0,0.0,1,-0.7338780825023853,0,1,0,1,0,1,0
0,0.0,0.0,0.0,0.0,1,-0.7338780825023853,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,0,1,1,0,0,0,1
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,1,2.2218927664720436,0,1,0,1,0,1,0
0,0.0,0.0,0.0,0.0,0,0.05432747722412909,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.33977530263912814,0,1,0,1,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,0,0,1,1,0
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.33977530263912814,0,1,1,0,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,1,0,0,0,1
0,0.0,0.0,0.0,0.0,1,-0.7338780825023853,0,1,1,0,0,0,1
0,0.0,0.0,0.0,0.0,0,-0.7338780825023853,1,0,1,0,0,0,1
0,0.0,0.0,0.0,0.0,1,-0.5368266925707568,1,0,0,0,1,1,0
0,0.0,0.0,0.0,0.0,0,0.2513788671557577,0,1,0,1,0,1,0
0,0.0,0.0,0.0,0.0,0,-0.5368266925707568,0,1,1,0,0,0,1
